,Unnamed: 0,Sort ,State,County ,CountySeat(s) ,Population(2010),LandAreakm2 ,LandAreami2 ,WaterAreakm2 ,WaterAreami2 ,TotalAreakm2 ,TotalAreami2 ,Latitude ,Longitude,Hover,County,Heart Disease Value,Year
0,0.0,1.0,AL,Autauga,Prattville,"54,571","1,539.582",594.436,25.776,9.952,"1,565.358",604.388,32.536382,-86.64449,Autauga<br>AL<br>00200,Autauga,00200,2018
1,1.0,2.0,AL,Baldwin,Bay Minette,"182,265","4,117.522","1,589.784","1,133.190",437.527,"5,250.712","2,027.311",30.659218,-87.74606700000001,Baldwin<br>AL<br>00186,Baldwin,00186,2018
2,2.0,3.0,AL,Barbour,Clayton,"27,457","2,291.819",884.876,50.865,19.639,"2,342.684",904.515,31.87067,-85.405456,Barbour<br>AL<br>00253,Barbour,00253,2018
10,10.0,11.0,AL,Chilton,Clanton,"43,643","1,794.484",692.854,20.586,7.948,"1,815.070",700.802,32.85406,-86.726628,Chilton<br>AL<br>00271,Chilton,00271,2018
16,16.0,17.0,AL,Colbert,Tuscumbia,"54,428","1,534.877",592.619,76.431,29.510,"1,611.308",622.129,34.703112,-87.801457,Colbert<br>AL<br>00238,Colbert,00238,2018
19,19.0,20.0,AL,Covington,Andalusia,"37,765","2,668.870","1,030.456",34.526,13.331,"2,703.396","1,043.787",31.243987,-86.44872099999999,Covington<br>AL<br>00263,Covington,00263,2018
21,21.0,22.0,AL,Cullman,Cullman,"80,406","1,903.228",734.841,52.267,20.180,"1,955.495",755.021,34.131923,-86.86926700000001,Cullman<br>AL<br>00260,Cullman,00260,2018
22,22.0,23.0,AL,Dale,Ozark,"50,251","1,453.371",561.150,4.016,1.551,"1,457.388",562.701,31.430653999999997,-85.609476,Dale<br>AL<br>00217,Dale,00217,2018
26,26.0,27.0,AL,Escambia,Brewton,"38,319","2,447.747",945.080,20.873,8.059,"2,468.620",953.139,31.121747999999997,-87.168429,Escambia<br>AL<br>00231,Escambia,00231,2018
27,27.0,28.0,AL,Etowah,Gadsden,"104,430","1,385.619",534.991,35.323,13.638,"1,420.942",548.629,34.047638,-86.03442,Etowah<br>AL<br>00275,Etowah,00275,2018
45,45.0,46.0,AL,Marengo,Linden,"21,027","2,530.112",976.882,14.995,5.789,"2,545.107",982.671,32.247591,-87.79109100000001,Marengo<br>AL<br>00332,Marengo,00332,2018
48,48.0,49.0,AL,Mobile,Mobile,"412,992","3,184.223","1,229.435","1,073.751",414.577,"4,257.974","1,644.012",30.684572999999997,-88.196568,Mobile<br>AL<br>00232,Mobile,00232,2018
60,60.0,61.0,AL,Talladega,Talladega,"82,291","1,908.240",736.775,60.944,23.531,"1,969.184",760.306,33.369277000000004,-86.17580500000001,Talladega<br>AL<br>00267,Talladega,00267,2018
61,61.0,62.0,AL,Tallapoosa,Dadeville,"41,616","1,855.780",716.521,128.809,49.733,"1,984.589",766.254,32.863369,-85.799553,Tallapoosa<br>AL<br>00241,Tallapoosa,00241,2018
62,62.0,63.0,AL,Tuscaloosa,Tuscaloosa,"194,656","3,423.329","1,321.755",76.396,29.497,"3,499.725","1,351.252",33.290202,-87.52286,Tuscaloosa<br>AL<br>00232,Tuscaloosa,00232,2018
97,97.0,98.0,AZ,Cochise,Bisbee,"131,346","15,969.064","6,165.690",137.025,52.906,"16,106.089","6,218.596",31.881793,-109.75412,Cochise<br>AZ<br>00162,Cochise,00162,2018
98,98.0,99.0,AZ,Coconino,Flagstaff,"134,421","48,222.689","18,618.885",109.964,42.457,"48,332.653","18,661.342",35.829692,-111.773728,Coconino<br>AZ<br>00125,Coconino,00125,2018
