,date,county,state,fips,cases,deaths
103778,2020-05-01,Autauga,Alabama,1001.0,42,3
103779,2020-05-01,Baldwin,Alabama,1003.0,175,4
103780,2020-05-01,Barbour,Alabama,1005.0,42,1
103781,2020-05-01,Bibb,Alabama,1007.0,42,0
103782,2020-05-01,Blount,Alabama,1009.0,39,0
103783,2020-05-01,Bullock,Alabama,1011.0,14,0
103784,2020-05-01,Butler,Alabama,1013.0,65,1
103785,2020-05-01,Calhoun,Alabama,1015.0,93,3
103786,2020-05-01,Chambers,Alabama,1017.0,290,21
103787,2020-05-01,Cherokee,Alabama,1019.0,15,0
103788,2020-05-01,Chilton,Alabama,1021.0,52,1
103789,2020-05-01,Choctaw,Alabama,1023.0,49,0
103790,2020-05-01,Clarke,Alabama,1025.0,34,1
103791,2020-05-01,Clay,Alabama,1027.0,21,1
103792,2020-05-01,Cleburne,Alabama,1029.0,12,1
103793,2020-05-01,Coffee,Alabama,1031.0,117,0
103794,2020-05-01,Colbert,Alabama,1033.0,33,2
103795,2020-05-01,Conecuh,Alabama,1035.0,9,0
103796,2020-05-01,Coosa,Alabama,1037.0,29,1
103797,2020-05-01,Covington,Alabama,1039.0,38,1
103798,2020-05-01,Crenshaw,Alabama,1041.0,19,0
103799,2020-05-01,Cullman,Alabama,1043.0,57,0
103800,2020-05-01,Dale,Alabama,1045.0,27,0
103801,2020-05-01,Dallas,Alabama,1047.0,42,3
103802,2020-05-01,DeKalb,Alabama,1049.0,76,2
103803,2020-05-01,Elmore,Alabama,1051.0,88,2
103804,2020-05-01,Escambia,Alabama,1053.0,29,2
103805,2020-05-01,Etowah,Alabama,1055.0,139,10
103806,2020-05-01,Fayette,Alabama,1057.0,6,0
103807,2020-05-01,Franklin,Alabama,1059.0,78,0
103808,2020-05-01,Geneva,Alabama,1061.0,9,0
103809,2020-05-01,Greene,Alabama,1063.0,54,1
103810,2020-05-01,Hale,Alabama,1065.0,50,2
103811,2020-05-01,Henry,Alabama,1067.0,24,1
103812,2020-05-01,Houston,Alabama,1069.0,90,4
103813,2020-05-01,Jackson,Alabama,1071.0,49,2
103814,2020-05-01,Jefferson,Alabama,1073.0,929,48
103815,2020-05-01,Lamar,Alabama,1075.0,11,0
103816,2020-05-01,Lauderdale,Alabama,1077.0,50,2
103817,2020-05-01,Lawrence,Alabama,1079.0,13,0
103818,2020-05-01,Lee,Alabama,1081.0,391,29
103819,2020-05-01,Limestone,Alabama,1083.0,44,0
103820,2020-05-01,Lowndes,Alabama,1085.0,67,1
103821,2020-05-01,Macon,Alabama,1087.0,37,2
103822,2020-05-01,Madison,Alabama,1089.0,225,4
103823,2020-05-01,Marengo,Alabama,1091.0,52,3
103824,2020-05-01,Marion,Alabama,1093.0,78,6
103825,2020-05-01,Marshall,Alabama,1095.0,328,7
103826,2020-05-01,Mobile,Alabama,1097.0,1099,61
103827,2020-05-01,Monroe,Alabama,1099.0,13,1
103828,2020-05-01,Montgomery,Alabama,1101.0,355,6
103829,2020-05-01,Morgan,Alabama,1103.0,71,0
103830,2020-05-01,Perry,Alabama,1105.0,10,0
103831,2020-05-01,Pickens,Alabama,1107.0,50,2
103832,2020-05-01,Pike,Alabama,1109.0,69,0
103833,2020-05-01,Randolph,Alabama,1111.0,62,4
103834,2020-05-01,Russell,Alabama,1113.0,60,0
103835,2020-05-01,Shelby,Alabama,1117.0,320,13
103836,2020-05-01,St. Clair,Alabama,1115.0,73,0
103837,2020-05-01,Sumter,Alabama,1119.0,68,3
103838,2020-05-01,Talladega,Alabama,1121.0,61,2
103839,2020-05-01,Tallapoosa,Alabama,1123.0,286,18
103840,2020-05-01,Tuscaloosa,Alabama,1125.0,210,2
103841,2020-05-01,Walker,Alabama,1127.0,97,0
103842,2020-05-01,Washington,Alabama,1129.0,35,2
103843,2020-05-01,Wilcox,Alabama,1131.0,67,3
103844,2020-05-01,Winston,Alabama,1133.0,15,0
103845,2020-05-01,Anchorage,Alaska,2020.0,185,4
103846,2020-05-01,Bethel Census Area,Alaska,2050.0,1,0
103847,2020-05-01,Fairbanks North Star Borough,Alaska,2090.0,82,2
103848,2020-05-01,Juneau City and Borough,Alaska,2110.0,27,0
103849,2020-05-01,Kenai Peninsula Borough,Alaska,2122.0,20,0
103850,2020-05-01,Ketchikan Gateway Borough,Alaska,2130.0,16,0
103851,2020-05-01,Kodiak Island Borough,Alaska,2150.0,1,0
103852,2020-05-01,Matanuska-Susitna Borough,Alaska,2170.0,21,1
103853,2020-05-01,Nome Census Area,Alaska,2180.0,1,0
103854,2020-05-01,Petersburg Borough,Alaska,2195.0,3,0
103855,2020-05-01,Prince of Wales-Hyder Census Area,Alaska,2198.0,2,0
103856,2020-05-01,Sitka City and Borough,Alaska,2220.0,1,0
103857,2020-05-01,Southeast Fairbanks Census Area,Alaska,2240.0,1,0
103858,2020-05-01,Yukon-Koyukuk Census Area,Alaska,2290.0,1,0
103859,2020-05-01,Apache,Arizona,4001.0,478,6
103860,2020-05-01,Cochise,Arizona,4003.0,39,0
103861,2020-05-01,Coconino,Arizona,4005.0,498,44
103862,2020-05-01,Gila,Arizona,4007.0,13,0
103863,2020-05-01,Graham,Arizona,4009.0,17,0
103864,2020-05-01,Greenlee,Arizona,4011.0,2,0
103865,2020-05-01,La Paz,Arizona,4012.0,15,2
103866,2020-05-01,Maricopa,Arizona,4013.0,4156,147
103867,2020-05-01,Mohave,Arizona,4015.0,122,13
103868,2020-05-01,Navajo,Arizona,4017.0,741,21
103869,2020-05-01,Pima,Arizona,4019.0,1267,81
