State,County,County FIPS Code,2010 Population,CO 8-hr,O3 8-hr,NO2 1-hr,SO2 1-hr,24-hr PM10,CO_category,O3_category,NO2_category,SO2_category,PM10_category
Alabama,Baldwin County,01003,182265,0.0,123.6816,0.0,0.0,0,Good,Moderate,Good,Good,Good
Alabama,Clay County,01027,13932,0.0,0.0,0.0,0.0,0,Good,Good,Good,Good,Good
Alabama,Colbert County,01033,54428,0.0,109.93920000000001,0.0,0.0,0,Good,Good,Good,Good,Good
Alabama,DeKalb County,01049,71109,0.0,121.7184,0.0,0.0,0,Good,Moderate,Good,Good,Good
Alabama,Elmore County,01051,79303,0.0,115.82879999999996,0.0,0.0,0,Good,Good,Good,Good,Good
Alabama,Escambia County,01053,38319,0.0,0.0,0.0,0.0,0,Good,Good,Good,Good,Good
Alabama,Etowah County,01055,104430,0.0,123.6816,0.0,0.0,0,Good,Moderate,Good,Good,Good
Alabama,Houston County,01069,101547,0.0,111.90240000000001,0.0,0.0,0,Good,Good,Good,Good,Good
Alabama,Jefferson County,01073,658466,1.145609,145.27679999999998,94.0,107.42,106,Good,Moderate,Good,Moderate,Moderate
Alabama,Madison County,01089,334811,0.0,123.6816,0.0,0.0,34,Good,Moderate,Good,Good,Good
Alabama,Mobile County,01097,412992,0.0,115.82879999999996,0.0,57.64,0,Good,Good,Good,Good,Good
Alabama,Montgomery County,01101,229363,0.0,117.792,0.0,0.0,33,Good,Good,Good,Good,Good
Alabama,Morgan County,01103,119490,0.0,125.6448,0.0,0.0,0,Good,Moderate,Good,Good,Good
Alabama,Pike County,01109,32899,0.0,0.0,0.0,0.0,0,Good,Good,Good,Good,Good
Alabama,Russell County,01113,52947,0.0,119.7552,0.0,0.0,0,Good,Moderate,Good,Good,Good
Alabama,Shelby County,01117,195085,0.0,137.42400000000004,0.0,204.36,0,Good,Moderate,Good,Moderate,Good
Alabama,Sumter County,01119,13763,0.0,111.90240000000001,0.0,10.48,0,Good,Good,Good,Good,Good
Alabama,Talladega County,01121,82291,0.0,0.0,0.0,0.0,0,Good,Good,Good,Good,Good
Alabama,Tuscaloosa County,01125,194656,0.0,117.792,0.0,0.0,0,Good,Good,Good,Good,Good
Alabama,Walker County,01127,67023,0.0,0.0,0.0,0.0,0,Good,Good,Good,Good,Good
Alaska,Anchorage Municipality,02020,291826,2.291218,0.0,0.0,0.0,98,Good,Good,Good,Good,Moderate
Alaska,Bethel Census Area,02050,17013,0.0,0.0,0.0,0.0,99,Good,Good,Good,Good,Moderate
Alaska,Denali Borough,02068,1826,0.0,104.04960000000003,0.0,0.0,0,Good,Good,Good,Good,Good
Alaska,Fairbanks North Star Borough,02090,97581,2.291218,92.27039999999998,0.0,78.60000000000001,200,Good,Good,Good,Good,Unhealthy
Alaska,Juneau City and Borough,02110,31275,0.0,0.0,0.0,0.0,50,Good,Good,Good,Good,Good
Alaska,Kenai Peninsula Borough,02122,55400,0.0,0.0,0.0,0.0,0,Good,Good,Good,Good,Good
Alaska,Ketchikan Gateway Borough,02130,13477,0.0,0.0,0.0,0.0,0,Good,Good,Good,Good,Good
Alaska,Matanuska-Susitna Borough,02170,88995,0.0,0.0,0.0,0.0,148,Good,Good,Good,Good,Moderate
Alaska,Skagway Municipality,02232,968,0.0,0.0,0.0,0.0,0,Good,Good,Good,Good,Good
Arizona,Apache County,04001,71518,0.0,0.0,0.0,0.0,38,Good,Good,Good,Good,Good
Arizona,Cochise County,04003,131346,0.0,129.5712,0.0,0.0,97,Good,Moderate,Good,Good,Moderate
Arizona,Coconino County,04005,134421,0.0,123.6816,0.0,0.0,0,Good,Moderate,Good,Good,Good
Arizona,Gila County,04007,53597,0.0,147.23999999999998,0.0,500.42,191,Good,Moderate,Good,Unhealthy,Unhealthy
Arizona,La Paz County,04012,20489,0.0,121.7184,0.0,0.0,40,Good,Moderate,Good,Good,Good
Arizona,Maricopa County,04013,3817117,2.291218,149.20319999999998,97.75999999999999,13.100000000000001,183,Good,Moderate,Good,Good,Unhealthy
Arizona,Mohave County,04015,200186,0.0,0.0,0.0,0.0,72,Good,Good,Good,Good,Moderate
Arizona,Navajo County,04017,107449,0.0,129.5712,0.0,0.0,35,Good,Moderate,Good,Good,Good
Arizona,Pima County,04019,980263,1.145609,127.608,56.4,2.62,139,Good,Moderate,Good,Good,Moderate
Arizona,Pinal County,04021,375770,0.0,141.35039999999998,0.0,0.0,990,Good,Moderate,Good,Good,Hazardous
Arizona,Santa Cruz County,04023,47420,0.0,0.0,0.0,0.0,108,Good,Good,Good,Good,Moderate
Arizona,Yavapai County,04025,211033,0.0,119.7552,0.0,0.0,0,Good,Moderate,Good,Good,Good
Arizona,Yuma County,04027,195751,0.0,127.608,0.0,0.0,174,Good,Moderate,Good,Good,Unhealthy
Arkansas,Arkansas County,05001,19019,0.0,0.0,0.0,0.0,0,Good,Good,Good,Good,Good
Arkansas,Ashley County,05003,21853,0.0,0.0,0.0,0.0,0,Good,Good,Good,Good,Good
Arkansas,Benton County,05007,221339,0.0,0.0,0.0,0.0,0,Good,Good,Good,Good,Good
Arkansas,Clark County,05019,22995,0.0,111.90240000000001,0.0,0.0,0,Good,Good,Good,Good,Good
Arkansas,Craighead County,05031,96443,0.0,0.0,0.0,0.0,0,Good,Good,Good,Good,Good
Arkansas,Crittenden County,05035,50902,0.0,125.6448,75.19999999999999,0.0,0,Good,Moderate,Good,Good,Good
Arkansas,Faulkner County,05045,113237,0.0,0.0,0.0,0.0,0,Good,Good,Good,Good,Good
