FIPS,County,Province_State,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incidence_Rate,Case-Fatality_Ratio,Date
45001,Abbeville,South Carolina,34.22333378,-82.46170658,190,2,0,188,774.6565009988992,1.0526315789473684,2020-07-20
22001,Acadia,Louisiana,30.295064899999996,-92.41419698,1696,51,0,1645,2733.4998791199937,3.0070754716981134,2020-07-20
51001,Accomack,Virginia,37.76707161,-75.63234615,1052,15,0,1037,3255.353385319965,1.4258555133079849,2020-07-20
16001,Ada,Idaho,43.4526575,-116.24155159999998,5900,32,0,5868,1225.1161264735135,0.5423728813559322,2020-07-20
19001,Adair,Iowa,41.33075609,-94.47105874,20,0,0,20,279.6420581655481,0.0,2020-07-20
21001,Adair,Kentucky,37.10459774,-85.28129668,163,19,0,144,848.8699093844391,11.656441717791411,2020-07-20
29001,Adair,Missouri,40.19058551,-92.60078167,107,0,0,107,422.2073156295624,0.0,2020-07-20
40001,Adair,Oklahoma,35.88494195,-94.65859267,170,4,0,166,765.9727854375056,2.3529411764705883,2020-07-20
8001,Adams,Colorado,39.87432092,-104.3362578,5094,161,0,4933,984.4981166207016,3.160581075775422,2020-07-20
16003,Adams,Idaho,44.89333571,-116.4545247,15,0,0,15,349.32463903120635,0.0,2020-07-20
17001,Adams,Illinois,39.98815591,-91.18786813,252,1,0,251,385.1149996179415,0.3968253968253968,2020-07-20
18001,Adams,Indiana,40.7457653,-84.93671406,57,1,0,56,159.32023366967604,1.7543859649122806,2020-07-20
19003,Adams,Iowa,41.02903567,-94.69932645,12,0,0,12,333.14825097168233,0.0,2020-07-20
28001,Adams,Mississippi,31.47669768,-91.35326037,408,22,0,386,1329.2933242107322,5.3921568627450975,2020-07-20
31001,Adams,Nebraska,40.52449420000001,-98.50117804,316,11,0,305,1007.5566750629724,3.4810126582278484,2020-07-20
39001,Adams,Ohio,38.84541072,-83.4718964,34,2,0,32,122.75254531013071,5.882352941176472,2020-07-20
42001,Adams,Pennsylvania,39.87140411,-77.21610347,413,15,0,398,400.93584055762113,3.6319612590799033,2020-07-20
53001,Adams,Washington,46.98299757,-118.56017340000001,296,0,0,296,1481.2590702096786,0.0,2020-07-20
55001,Adams,Wisconsin,43.96974651,-89.76782777,51,2,0,49,252.22551928783386,3.92156862745098,2020-07-20
50001,Addison,Vermont,44.03217337,-73.14130877,70,2,0,68,190.3363515240504,2.8571428571428568,2020-07-20
72001,Adjuntas,Puerto Rico,18.180117000000006,-66.754367,72,0,0,72,369.5529435918492,0.0,2020-07-20
