,Value,county,state
0,0.0,Aleutians East,AK
1,0.0,Aleutians West,AK
2,125.4,Anchorage,AK
3,191.4,Bethel,AK
4,0.0,Bristol Bay,AK
5,0.0,Denali,AK
6,219.4,Dillingham,AK
7,140.9,Fairbanks North Star,AK
8,0.0,Haines,AK
9,0.0,Hoonah-Angoon,AK
10,141.1,Juneau,AK
11,153.1,Kenai Peninsula,AK
12,134.0,Ketchikan Gateway,AK
13,134.4,Kodiak Island,AK
14,0.0,Lake and Peninsula,AK
15,115.6,Matanuska-Susitna,AK
16,257.2,Nome,AK
17,165.9,North Slope,AK
18,223.0,Northwest Arctic,AK
19,0.0,Petersburg,AK
20,183.0,Prince of Wales-Hyder,AK
21,149.5,Sitka,AK
22,0.0,Skagway,AK
23,151.0,Southeast Fairbanks,AK
24,110.4,Valdez-Cordova,AK
25,0.0,Kusilvak,AK
26,0.0,Wrangell,AK
27,0.0,Yakutat,AK
28,155.7,Yukon-Koyukuk,AK
29,112.2,Alameda,CA
30,153.0,Amador,CA
31,176.8,Butte,CA
32,149.8,Calaveras,CA
33,159.4,Colusa,CA
34,110.0,Contra Costa,CA
35,158.0,Del Norte,CA
36,130.9,El Dorado,CA
37,180.6,Glenn,CA
38,169.9,Humboldt,CA
39,174.3,Kings,CA
40,174.3,Lake,CA
41,161.5,Lassen,CA
42,92.7,Marin,CA
43,181.6,Mariposa,CA
44,146.3,Mendocino,CA
45,166.8,Merced,CA
46,165.6,Modoc,CA
47,107.4,Monterey,CA
48,133.6,Napa,CA
49,136.3,Nevada,CA
50,125.7,Placer,CA
51,129.2,Plumas,CA
52,151.7,Sacramento,CA
53,125.2,San Benito,CA
54,109.5,San Francisco,CA
55,158.9,San Joaquin,CA
56,123.8,San Luis Obispo,CA
57,109.5,San Mateo,CA
58,130.6,Santa Barbara,CA
59,99.7,Santa Clara,CA
60,113.4,Santa Cruz,CA
61,196.6,Shasta,CA
62,178.3,Sierra,CA
63,180.9,Siskiyou,CA
64,123.4,Solano,CA
65,128.9,Sonoma,CA
66,186.9,Stanislaus,CA
67,161.6,Sutter,CA
68,190.1,Tehama,CA
69,152.5,Trinity,CA
70,165.7,Tuolumne,CA
71,123.9,Yolo,CA
72,207.8,Yuba,CA
73,148.9,Hawaii,HI
74,126.9,Honolulu,HI
75,0.0,Kalawao,HI
76,112.2,Kauai,HI
77,112.5,Maui,HI
78,109.4,Benton,OR
79,117.7,Clackamas,OR
80,162.4,Clatsop,OR
81,158.3,Columbia,OR
82,177.3,Coos,OR
83,170.4,Crook,OR
84,170.8,Curry,OR
85,128.0,Deschutes,OR
86,140.0,Douglas,OR
87,0.0,Gilliam,OR
88,159.3,Hood River,OR
89,123.4,Jackson,OR
90,150.4,Jefferson,OR
91,128.5,Josephine,OR
92,166.2,Klamath,OR
93,119.4,Lake,OR
94,126.7,Lane,OR
95,142.6,Lincoln,OR
96,160.5,Linn,OR
97,129.9,Marion,OR
98,137.1,Multnomah,OR
99,110.8,Polk,OR
100,208.3,Sherman,OR
101,131.8,Tillamook,OR
102,175.8,Wasco,OR
103,112.1,Washington,OR
104,0.0,Wheeler,OR
105,149.3,Yamhill,OR
106,115.0,Chelan,WA
107,129.1,Clallam,WA
108,138.6,Clark,WA
109,178.0,Cowlitz,WA
110,159.8,Grays Harbor,WA
111,134.7,Island,WA
112,119.7,Jefferson,WA
113,116.1,King,WA
114,143.4,Kitsap,WA
115,133.5,Kittitas,WA
116,107.0,Klickitat,WA
117,185.0,Lewis,WA
118,149.5,Mason,WA
119,144.8,Okanogan,WA
120,238.0,Pacific,WA
121,165.6,Pierce,WA
122,62.9,San Juan,WA
123,132.3,Skagit,WA
124,114.7,Skamania,WA
125,131.3,Snohomish,WA
126,132.8,Thurston,WA
127,127.8,Wahkiakum,WA
128,125.0,Whatcom,WA
129,188.0,Yakima,WA
