city,City_Name,state,HDTIscore,HDTIscorenorm,RTIscore,RTIscorenorm,AQIscore,MedAgescore,Povertyscore,COLIscore,popchangescore,MedIncscore,PerCapIncscore,PopulationScore,EconomyScore,ClimateScore,CostofLivingScore,LivabilityScore
"Newburgh, New York",Newburgh,New York,-15.90268898600604,13.82,-6.029562718127693,0.27,28.88,94.8,2.5,15.0,44.5,14.2,50.0,50.43333333333334,22.233333333333334,28.88,9.696666666666667,27.810833333333335
"Newstead, New York",Newstead,New York,6.800051558495195,77.26,12.586401394728746,76.95,52.33,18.4,45.1,61.8,44.8,34.1,50.0,41.53333333333333,43.06666666666666,52.33,72.00333333333333,52.233333333333334
"Niagara Falls, New York",Niagara Falls,New York,7.432109593781682,78.77,7.830254201972497,43.58,52.33,46.9,6.0,61.2,42.2,12.0,50.0,46.26666666666667,22.666666666666668,52.33,61.18333333333334,45.611666666666665
"Niagara, New York",Niagara,New York,10.712326772515716,85.63,3.9987309170990244,18.78,52.33,20.2,65.5,55.5,43.3,28.2,50.0,44.23333333333333,47.9,52.33,53.303333333333335,49.44166666666666
"North Amityville, New York",North Amityville,New York,-7.380030107508382,34.48,8.02494830592083,45.03,24.09,73.7,71.1,6.9,45.8,54.6,50.0,43.96666666666667,58.56666666666666,24.09,28.80333333333333,38.85666666666667
"North Babylon, New York",North Babylon,New York,-4.791581625846625,42.47,6.339693520409735,32.87,28.49,22.4,81.0,5.6,44.1,81.9,50.0,32.166666666666664,70.96666666666667,28.49,26.98,39.65083333333333
"North Bay Shore, New York",North Bay Shore,New York,-2.76708976989066,48.95,5.235474653402477,25.71,28.49,88.2,66.4,6.3,49.0,68.8,50.0,52.166666666666664,61.73333333333333,28.49,26.986666666666668,42.344166666666666
"North Bellmore, New York",North Bellmore,New York,-2.6028938247900655,49.48,16.2663305065322,92.41,16.99,28.5,88.7,6.3,44.3,98.0,50.0,27.833333333333332,78.89999999999999,16.99,49.39666666666667,43.279999999999994
"North Bellport, New York",North Bellport,New York,-9.09261568941902,29.54,-9.383345397421877,0.03,40.45,78.1,31.2,5.3,49.4,42.4,50.0,62.76666666666666,41.2,40.45,11.623333333333333,39.010000000000005
"North Castle, New York",North Castle,New York,-14.05799512206346,17.38,14.806777964465734,87.64,97.78,26.9,89.3,0.4,46.0,100.0,50.0,45.93333333333334,79.76666666666667,97.78,35.14,64.655
"North Elba, New York",North Elba,New York,2.8935501649280297,66.7,13.655172413793103,82.62,61.16,40.1,65.5,63.1,45.0,33.4,50.0,48.4,49.63333333333333,61.16,70.80666666666667,57.5
"North Gates, New York",North Gates,New York,4.819952758146133,72.15,13.551362901964872,82.11,48.74,25.4,69.5,56.4,45.9,32.9,50.0,43.06666666666666,50.800000000000004,48.74,70.22000000000001,53.20666666666668
"North Greenbush, New York",North Greenbush,New York,7.563438708098289,79.08,15.626571262811835,90.52,44.56,20.2,79.8,45.0,46.5,66.0,50.0,44.43333333333333,65.26666666666667,44.56,71.53333333333333,56.44833333333333
"North Hempstead, New York",North Hempstead,New York,-12.634243805728524,20.49,12.274901773824986,75.12,11.32,24.9,66.8,0.8,44.7,95.8,50.0,36.76666666666667,70.86666666666667,11.32,32.13666666666666,37.7725
"North Lindenhurst, New York",North Lindenhurst,New York,-16.769398900282503,12.33,3.3555093555093585,15.68,24.09,51.3,80.1,5.5,44.3,52.1,50.0,38.93333333333333,60.73333333333333,24.09,11.17,33.73166666666666
"North Massapequa, New York",North Massapequa,New York,-4.967467354727155,41.91,11.346044755268437,69.25,17.66,21.5,82.5,5.6,43.3,94.6,50.0,29.333333333333332,75.7,17.66,38.919999999999995,40.40333333333333
"North Merrick, New York",North Merrick,New York,-4.3461623922087185,43.88,7.884427185682188,43.98,11.53,33.0,87.4,4.6,45.1,97.4,50.0,31.066666666666666,78.26666666666667,11.53,30.820000000000004,37.920833333333334
"North New Hyde Park, New York",North New Hyde Park,New York,-11.088357449984379,24.22,10.60822487775712,64.18,11.25,18.0,88.9,4.1,44.9,96.0,50.0,24.733333333333334,78.3,11.25,30.833333333333332,36.27916666666667
"North Patchogue, New York",North Patchogue,New York,-2.324143355456002,50.38,9.89587598713074,59.05,40.45,43.1,68.4,6.8,43.2,69.3,50.0,45.53333333333333,62.56666666666666,40.45,38.74333333333333,46.82333333333334
"North Syracuse, New York",North Syracuse,New York,3.8515579930212347,69.46,7.161500815660684,38.66,53.82,25.9,54.9,58.5,44.2,18.5,50.0,39.96666666666667,41.13333333333333,53.82,55.54,47.614999999999995
"North Tonawanda, New York",North Tonawanda,New York,7.177679095629607,78.17,15.344229023126635,89.59,52.33,16.4,69.9,60.8,43.0,31.2,50.0,38.03333333333333,50.366666666666674,52.33,76.18666666666667,54.22916666666667
"North Valley Stream, New York",North Valley Stream,New York,-3.4904923251331503,46.62,10.086620581274616,60.44,11.25,37.6,85.9,5.6,45.4,89.1,50.0,29.53333333333333,75.0,11.25,37.553333333333335,38.33416666666667
"North Wantagh, New York",North Wantagh,New York,-1.7632142982845131,52.19,19.282924789548012,97.74,17.37,12.1,89.5,7.3,44.2,97.2,50.0,24.900000000000002,78.89999999999999,17.37,52.41,43.394999999999996
"Northport, New York",Northport,New York,-14.122873731399388,17.24,14.261693011197927,85.4,18.75,5.2,84.1,5.0,43.9,91.5,50.0,33.96666666666666,75.2,18.75,35.88,40.94916666666666
"Norwich, New York",Norwich,New York,6.9973391432280465,77.74,10.99638026290722,66.88,66.5,68.3,11.7,82.2,42.9,16.6,50.0,54.23333333333333,26.099999999999998,66.5,75.60666666666667,55.61
"Nyack, New York",Nyack,New York,-32.85704018584448,0.7,1.708662252458371,9.36,97.84,26.4,51.3,4.6,45.2,43.8,50.0,25.400000000000002,48.36666666666667,97.84,4.886666666666667,44.123333333333335
"Oakdale, New York",Oakdale,New York,-13.886520374876596,17.74,9.81932994211542,58.48,41.18,9.0,86.9,5.7,44.2,75.8,50.0,38.333333333333336,70.89999999999999,41.18,27.30666666666666,44.43
"Oceanside, New York",Oceanside,New York,-7.490969967957483,34.15,15.176451673410329,89.01,14.98,16.4,81.3,6.0,44.1,92.0,50.0,26.53333333333333,74.43333333333334,14.98,43.053333333333335,39.75
"Ogdensburg, New York",Ogdensburg,New York,9.54462935833213,83.38,11.66242871602439,71.32,40.7,32.4,20.9,83.1,42.1,15.4,50.0,46.5,28.76666666666667,40.7,79.26666666666667,48.80833333333334
"Ogden, New York",Ogden,New York,9.361671217722808,83.01,11.769352290679304,72.0,48.74,34.7,79.8,51.8,45.7,57.2,50.0,48.63333333333333,62.333333333333336,48.74,68.93666666666667,57.160833333333336
"Olean, New York",Olean,New York,8.82681742074621,81.9,13.063500209956608,79.6,75.77,33.5,15.1,82.9,42.6,17.3,50.0,46.300000000000004,27.466666666666665,75.77,81.46666666666667,57.75083333333333
"Oneida, New York",Oneida,New York,3.3278367561233466,67.96,10.314271231740474,62.09,52.18,29.1,27.1,58.5,44.5,17.8,50.0,46.199999999999996,31.633333333333336,52.18,62.85,48.21583333333333
"Oneonta, New York",Oneonta,New York,-3.495407137108529,46.61,5.260045347233586,25.86,49.49,99.4,8.9,76.4,45.5,17.3,50.0,65.8,25.400000000000002,49.49,49.623333333333335,47.57833333333333
"Onondaga, New York",Onondaga,New York,8.614942120220878,81.44,13.734532288226635,83.0,54.57,25.9,77.8,51.0,46.1,56.5,50.0,45.300000000000004,61.43333333333334,54.57,71.81333333333333,58.27916666666667
"Ontario, New York",Ontario,New York,7.033499660906422,77.83,8.1869309051955,46.24,48.74,26.4,73.3,52.9,45.1,35.6,50.0,44.833333333333336,52.96666666666666,48.74,58.99,51.3825
"Orange Lake, New York",Orange Lake,New York,5.793532363454826,74.73,7.850757161101988,43.73,28.88,34.1,52.2,15.4,47.0,82.9,50.0,51.46666666666667,61.70000000000001,28.88,44.620000000000005,46.66666666666667
