"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",-1,
02016,"""Aleutians West, (AK)""",-1,
02020,"""Anchorage, (AK)""",125.4,"45.8 - 145.3 (616)"
02050,"""Bethel, (AK)""",191.4,"190.3 - 224.5 (614)"
02060,"""Bristol Bay, (AK)""",-1,
02068,"""Denali, (AK)""",-1,
02070,"""Dillingham, (AK)""",219.4,"190.3 - 224.5 (614)"
02090,"""Fairbanks North Star, (AK)""",140.9,"45.8 - 145.3 (616)"
02100,"""Haines, (AK)""",-1,
02105,"""Hoonah-Angoon, (AK)""",-1,
02110,"""Juneau, (AK)""",141.1,"45.8 - 145.3 (616)"
02122,"""Kenai Peninsula, (AK)""",153.1,"145.4 - 168.9 (613)"
02130,"""Ketchikan Gateway, (AK)""",134,"45.8 - 145.3 (616)"
02150,"""Kodiak Island, (AK)""",134.4,"45.8 - 145.3 (616)"
02164,"""Lake and Peninsula, (AK)""",-1,
02170,"""Matanuska-Susitna, (AK)""",115.6,"45.8 - 145.3 (616)"
02180,"""Nome, (AK)""",257.2,"224.6 - 515.4 (613)"
02185,"""North Slope, (AK)""",165.9,"145.4 - 168.9 (613)"
02188,"""Northwest Arctic, (AK)""",223,"190.3 - 224.5 (614)"
02195,"""Petersburg, (AK)""",-1,
02198,"""Prince of Wales-Hyder, (AK)""",183,"169.0 - 190.2 (615)"
02220,"""Sitka, (AK)""",149.5,"145.4 - 168.9 (613)"
02230,"""Skagway, (AK)""",-1,
02240,"""Southeast Fairbanks, (AK)""",151,"145.4 - 168.9 (613)"
02261,"""Valdez-Cordova, (AK)""",110.4,"45.8 - 145.3 (616)"
02158,"""Kusilvak, (AK)""",-1,
02275,"""Wrangell, (AK)""",-1,
02282,"""Yakutat, (AK)""",-1,
02290,"""Yukon-Koyukuk, (AK)""",155.7,"145.4 - 168.9 (613)"
06001,"""Alameda, (CA)""",112.2,"45.8 - 145.3 (616)"
06005,"""Amador, (CA)""",153,"145.4 - 168.9 (613)"
06007,"""Butte, (CA)""",176.8,"169.0 - 190.2 (615)"
06009,"""Calaveras, (CA)""",149.8,"145.4 - 168.9 (613)"
06011,"""Colusa, (CA)""",159.4,"145.4 - 168.9 (613)"
06013,"""Contra Costa, (CA)""",110,"45.8 - 145.3 (616)"
06015,"""Del Norte, (CA)""",158,"145.4 - 168.9 (613)"
06017,"""El Dorado, (CA)""",130.9,"45.8 - 145.3 (616)"
06021,"""Glenn, (CA)""",180.6,"169.0 - 190.2 (615)"
06023,"""Humboldt, (CA)""",169.9,"169.0 - 190.2 (615)"
06031,"""Kings, (CA)""",174.3,"169.0 - 190.2 (615)"
06033,"""Lake, (CA)""",174.3,"169.0 - 190.2 (615)"
06035,"""Lassen, (CA)""",161.5,"145.4 - 168.9 (613)"
06041,"""Marin, (CA)""",92.7,"45.8 - 145.3 (616)"
06043,"""Mariposa, (CA)""",181.6,"169.0 - 190.2 (615)"
06045,"""Mendocino, (CA)""",146.3,"145.4 - 168.9 (613)"
06047,"""Merced, (CA)""",166.8,"145.4 - 168.9 (613)"
06049,"""Modoc, (CA)""",165.6,"145.4 - 168.9 (613)"
06053,"""Monterey, (CA)""",107.4,"45.8 - 145.3 (616)"
06055,"""Napa, (CA)""",133.6,"45.8 - 145.3 (616)"
06057,"""Nevada, (CA)""",136.3,"45.8 - 145.3 (616)"
06061,"""Placer, (CA)""",125.7,"45.8 - 145.3 (616)"
06063,"""Plumas, (CA)""",129.2,"45.8 - 145.3 (616)"
06067,"""Sacramento, (CA)""",151.7,"145.4 - 168.9 (613)"
06069,"""San Benito, (CA)""",125.2,"45.8 - 145.3 (616)"
06075,"""San Francisco, (CA)""",109.5,"45.8 - 145.3 (616)"
06077,"""San Joaquin, (CA)""",158.9,"145.4 - 168.9 (613)"
06079,"""San Luis Obispo, (CA)""",123.8,"45.8 - 145.3 (616)"
06081,"""San Mateo, (CA)""",109.5,"45.8 - 145.3 (616)"
06083,"""Santa Barbara, (CA)""",130.6,"45.8 - 145.3 (616)"
06085,"""Santa Clara, (CA)""",99.7,"45.8 - 145.3 (616)"
06087,"""Santa Cruz, (CA)""",113.4,"45.8 - 145.3 (616)"
06089,"""Shasta, (CA)""",196.6,"190.3 - 224.5 (614)"
06091,"""Sierra, (CA)""",178.3,"169.0 - 190.2 (615)"
06093,"""Siskiyou, (CA)""",180.9,"169.0 - 190.2 (615)"
06095,"""Solano, (CA)""",123.4,"45.8 - 145.3 (616)"
06097,"""Sonoma, (CA)""",128.9,"45.8 - 145.3 (616)"
06099,"""Stanislaus, (CA)""",186.9,"169.0 - 190.2 (615)"
06101,"""Sutter, (CA)""",161.6,"145.4 - 168.9 (613)"
06103,"""Tehama, (CA)""",190.1,"169.0 - 190.2 (615)"
06105,"""Trinity, (CA)""",152.5,"145.4 - 168.9 (613)"
06109,"""Tuolumne, (CA)""",165.7,"145.4 - 168.9 (613)"
06113,"""Yolo, (CA)""",123.9,"45.8 - 145.3 (616)"
06115,"""Yuba, (CA)""",207.8,"190.3 - 224.5 (614)"
15001,"""Hawaii, (HI)""",148.9,"145.4 - 168.9 (613)"
15003,"""Honolulu, (HI)""",126.9,"45.8 - 145.3 (616)"
15005,"""Kalawao, (HI)""",-1,
15007,"""Kauai, (HI)""",112.2,"45.8 - 145.3 (616)"
15009,"""Maui, (HI)""",112.5,"45.8 - 145.3 (616)"
41003,"""Benton, (OR)""",109.4,"45.8 - 145.3 (616)"
41005,"""Clackamas, (OR)""",117.7,"45.8 - 145.3 (616)"
41007,"""Clatsop, (OR)""",162.4,"145.4 - 168.9 (613)"
41009,"""Columbia, (OR)""",158.3,"145.4 - 168.9 (613)"
41011,"""Coos, (OR)""",177.3,"169.0 - 190.2 (615)"
41013,"""Crook, (OR)""",170.4,"169.0 - 190.2 (615)"
41015,"""Curry, (OR)""",170.8,"169.0 - 190.2 (615)"
41017,"""Deschutes, (OR)""",128,"45.8 - 145.3 (616)"
41019,"""Douglas, (OR)""",140,"45.8 - 145.3 (616)"
41021,"""Gilliam, (OR)""",-1,
41027,"""Hood River, (OR)""",159.3,"145.4 - 168.9 (613)"
41029,"""Jackson, (OR)""",123.4,"45.8 - 145.3 (616)"
41031,"""Jefferson, (OR)""",150.4,"145.4 - 168.9 (613)"
41033,"""Josephine, (OR)""",128.5,"45.8 - 145.3 (616)"
41035,"""Klamath, (OR)""",166.2,"145.4 - 168.9 (613)"
41037,"""Lake, (OR)""",119.4,"45.8 - 145.3 (616)"
41039,"""Lane, (OR)""",126.7,"45.8 - 145.3 (616)"
41041,"""Lincoln, (OR)""",142.6,"45.8 - 145.3 (616)"
41043,"""Linn, (OR)""",160.5,"145.4 - 168.9 (613)"
41047,"""Marion, (OR)""",129.9,"45.8 - 145.3 (616)"
41051,"""Multnomah, (OR)""",137.1,"45.8 - 145.3 (616)"
41053,"""Polk, (OR)""",110.8,"45.8 - 145.3 (616)"
41055,"""Sherman, (OR)""",208.3,"190.3 - 224.5 (614)"
41057,"""Tillamook, (OR)""",131.8,"45.8 - 145.3 (616)"
41065,"""Wasco, (OR)""",175.8,"169.0 - 190.2 (615)"
41067,"""Washington, (OR)""",112.1,"45.8 - 145.3 (616)"
41069,"""Wheeler, (OR)""",-1,
41071,"""Yamhill, (OR)""",149.3,"145.4 - 168.9 (613)"
53007,"""Chelan, (WA)""",115,"45.8 - 145.3 (616)"
53009,"""Clallam, (WA)""",129.1,"45.8 - 145.3 (616)"
53011,"""Clark, (WA)""",138.6,"45.8 - 145.3 (616)"
53015,"""Cowlitz, (WA)""",178,"169.0 - 190.2 (615)"
53027,"""Grays Harbor, (WA)""",159.8,"145.4 - 168.9 (613)"
53029,"""Island, (WA)""",134.7,"45.8 - 145.3 (616)"
53031,"""Jefferson, (WA)""",119.7,"45.8 - 145.3 (616)"
53033,"""King, (WA)""",116.1,"45.8 - 145.3 (616)"
53035,"""Kitsap, (WA)""",143.4,"45.8 - 145.3 (616)"
53037,"""Kittitas, (WA)""",133.5,"45.8 - 145.3 (616)"
53039,"""Klickitat, (WA)""",107,"45.8 - 145.3 (616)"
53041,"""Lewis, (WA)""",185,"169.0 - 190.2 (615)"
53045,"""Mason, (WA)""",149.5,"145.4 - 168.9 (613)"
53047,"""Okanogan, (WA)""",144.8,"45.8 - 145.3 (616)"
53049,"""Pacific, (WA)""",238,"224.6 - 515.4 (613)"
53053,"""Pierce, (WA)""",165.6,"145.4 - 168.9 (613)"
53055,"""San Juan, (WA)""",62.9,"45.8 - 145.3 (616)"
53057,"""Skagit, (WA)""",132.3,"45.8 - 145.3 (616)"
53059,"""Skamania, (WA)""",114.7,"45.8 - 145.3 (616)"
53061,"""Snohomish, (WA)""",131.3,"45.8 - 145.3 (616)"
53067,"""Thurston, (WA)""",132.8,"45.8 - 145.3 (616)"
53069,"""Wahkiakum, (WA)""",127.8,"45.8 - 145.3 (616)"
53073,"""Whatcom, (WA)""",125,"45.8 - 145.3 (616)"
53077,"""Yakima, (WA)""",188,"169.0 - 190.2 (615)"
04001,"""Apache, (AZ)""",149.2,"145.4 - 168.9 (613)"
04003,"""Cochise, (AZ)""",162.7,"145.4 - 168.9 (613)"
04005,"""Coconino, (AZ)""",125.8,"45.8 - 145.3 (616)"
04007,"""Gila, (AZ)""",203.5,"190.3 - 224.5 (614)"
04009,"""Graham, (AZ)""",151.9,"145.4 - 168.9 (613)"
04011,"""Greenlee, (AZ)""",149.8,"145.4 - 168.9 (613)"
