id,Median_Age,population,population_change,Population_Density,popden_norm
0,38.6,48460.0,-12.8,3448.0,49.7
1,44.3,30475.0,-8.4,3017.0,54.7
2,42.1,7040.0,4.5,9143.0,4.6
3,40.8,13711.0,-10.7,2312.0,62.8
4,22.1,14057.0,5.8,3207.0,52.5
5,37.1,25403.0,5.8,7898.0,9.4
6,35.4,17465.0,-2.7,2280.0,63.1
7,42.0,15876.0,2.1,2320.0,62.7
8,40.0,24272.0,8.2,5613.0,26.0
9,43.2,7080.0,15.0,107.0,60.7
10,36.8,29711.0,6.6,12607.0,0.3
11,21.6,9688.0,2.8,2208.0,63.9
12,37.7,30614.0,2.5,5951.0,22.8
13,34.7,9264.0,19.4,3079.0,54.0
14,42.8,6075.0,-4.4,305.0,62.9
15,43.4,8530.0,6.8,242.0,62.2
16,40.4,28027.0,7.0,986.0,70.2
17,43.4,18079.0,1.4,2724.0,58.1
18,38.1,65625.0,6.2,6050.0,22.0
19,29.4,32724.0,28.5,15579.0,0.0
20,41.6,12147.0,3.4,2208.0,63.9
21,42.5,10995.0,-0.1,5261.0,29.4
22,30.7,143396.0,-2.7,5715.0,25.0
23,45.5,6613.0,-2.1,2371.0,62.1
24,40.7,11572.0,4.3,3887.0,44.5
25,45.6,9107.0,-1.7,2131.0,64.8
26,30.7,28043.0,5.7,537.0,65.4
27,40.1,13157.0,2.1,101.0,60.6
28,33.6,10388.0,0.9,6731.0,16.5
29,38.5,59047.0,11.2,6025.0,22.2
30,38.7,202019.0,3.0,11176.0,1.1
31,37.3,72865.0,31.2,2710.0,58.3
32,42.3,7293.0,1.0,1161.0,71.9
33,29.2,57056.0,15.7,2965.0,55.3
34,37.7,6509.0,-0.4,1242.0,72.7
35,41.6,6437.0,-0.5,1107.0,71.4
36,36.8,108303.0,44.7,2407.0,61.7
37,35.1,7024.0,28.9,1009.0,70.4
38,36.3,16276.0,2.7,901.0,69.3
39,36.1,18729.0,18.0,1557.0,70.8
40,31.8,9668.0,35.4,1276.0,73.0
41,31.9,13814.0,70.1,1485.0,71.5
42,55.1,7060.0,37.6,783.0,68.0
43,35.4,6879.0,-1.1,432.0,64.3
44,34.2,22578.0,136.2,1574.0,70.6
45,35.4,37858.0,-1.2,1014.0,70.4
46,34.2,643648.0,27.2,1060.0,70.9
47,33.8,36215.0,95.7,3610.0,47.8
48,35.3,6169.0,-1.4,739.0,67.6
49,37.0,24220.0,-6.6,1337.0,73.0
50,36.2,8866.0,11.7,310.0,62.9
51,36.9,8489.0,6.3,668.0,66.8
52,35.5,401800.0,2.2,2200.0,64.0
53,37.2,8904.0,16.1,1279.0,73.1
54,43.6,9783.0,-0.8,1416.0,72.2
55,38.1,18234.0,46.0,5946.0,22.9
56,41.9,16295.0,6.0,1539.0,71.0
57,36.2,9139.0,90.5,3562.0,48.3
58,38.3,37579.0,63.4,4955.0,32.6
59,38.6,21196.0,369.0,7853.0,9.6
60,30.9,17428.0,32.5,2697.0,58.4
61,34.8,7686.0,31.8,3743.0,46.2
62,38.2,39315.0,22.1,5440.0,27.6
63,35.1,21359.0,9.7,1196.0,72.3
64,46.8,39196.0,11.1,3788.0,45.7
65,33.9,6839.0,34.7,3134.0,53.4
